epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,4649.9,1.70508,1.25982,2.06848,0.68358,0.53774,0.59458,0.19376,2.36736,1.65052,2.99061,0.00166002,0.00166002,0.00166002
138,4683.81,1.71503,1.26502,2.08318,0.63955,0.56604,0.55279,0.17727,2.40401,1.69503,3.02035,0.00165532,0.00165532,0.00165532
139,4717.73,1.70106,1.24244,2.09011,0.59819,0.58962,0.54839,0.18938,2.34916,1.70568,2.98714,0.00165059,0.00165059,0.00165059
140,4751.61,1.70808,1.2222,2.07913,0.63986,0.57547,0.56063,0.19633,2.34825,1.70518,3.02458,0.00164583,0.00164583,0.00164583
141,4785.45,1.68344,1.21069,2.10505,0.62273,0.5566,0.54208,0.18319,2.41535,1.79447,3.08392,0.00164105,0.00164105,0.00164105
142,4819.36,1.68613,1.2106,2.04765,0.64595,0.53302,0.55088,0.18258,2.42434,1.69502,3.07611,0.00163624,0.00163624,0.00163624
143,4853.27,1.72343,1.28909,2.09402,0.61348,0.55189,0.5566,0.18019,2.38314,1.68226,3.04523,0.00163141,0.00163141,0.00163141
144,4887.18,1.71243,1.27298,2.05682,0.65943,0.5566,0.56789,0.19854,2.42389,1.60099,3.11445,0.00162656,0.00162656,0.00162656
145,4921.07,1.65143,1.21734,2.0189,0.61877,0.57075,0.55592,0.17787,2.42744,1.66166,3.08886,0.00162168,0.00162168,0.00162168
146,4954.9,1.63192,1.2169,2.02999,0.57935,0.52622,0.51435,0.17162,2.51098,1.73605,3.17249,0.00161678,0.00161678,0.00161678
147,4988.83,1.67104,1.14524,2.02019,0.62083,0.61785,0.60198,0.19816,2.41811,1.68816,3.09422,0.00161185,0.00161185,0.00161185
148,5022.72,1.63517,1.17024,2.04518,0.67907,0.55895,0.56947,0.18881,2.39316,1.6205,3.0815,0.0016069,0.0016069,0.0016069
149,5056.63,1.67329,1.24815,2.02465,0.62836,0.55828,0.54887,0.17001,2.44466,1.65103,3.12176,0.00160193,0.00160193,0.00160193
150,5090.49,1.69924,1.19296,2.07919,0.67055,0.53774,0.57595,0.1792,2.45049,1.66927,3.11652,0.00159693,0.00159693,0.00159693
151,5124.38,1.65089,1.17754,2.04865,0.68802,0.51887,0.52585,0.17565,2.46418,1.78142,3.17438,0.00159191,0.00159191,0.00159191
152,5158.26,1.61527,1.1091,2.01852,0.65301,0.57702,0.57319,0.18665,2.40016,1.62636,3.11217,0.00158686,0.00158686,0.00158686
153,5192.03,1.62448,1.14132,2.01149,0.6915,0.56132,0.59992,0.19668,2.43611,1.67945,3.13432,0.0015818,0.0015818,0.0015818
154,5225.9,1.62881,1.17113,2.0373,0.59045,0.60849,0.5614,0.18272,2.4208,1.67483,3.16809,0.00157671,0.00157671,0.00157671
155,5259.78,1.63549,1.15246,1.99549,0.65881,0.56132,0.57013,0.18674,2.4505,1.67567,3.11539,0.0015716,0.0015716,0.0015716
156,5293.67,1.68096,1.20738,2.04731,0.67228,0.52358,0.5532,0.18685,2.38119,1.66193,2.97539,0.00156646,0.00156646,0.00156646
157,5327.6,1.62774,1.15669,2.0171,0.6581,0.56604,0.57664,0.1907,2.43672,1.81488,3.04153,0.00156131,0.00156131,0.00156131
158,5361.49,1.61181,1.12432,1.99313,0.65026,0.56132,0.55325,0.19335,2.42324,1.6809,3.08962,0.00155613,0.00155613,0.00155613
159,5395.36,1.59798,1.17646,2.00586,0.68905,0.5566,0.59303,0.19996,2.41499,1.62658,3.17169,0.00155093,0.00155093,0.00155093
160,5429.22,1.5872,1.10442,1.96403,0.69855,0.5283,0.55706,0.19463,2.38717,1.64944,3.16714,0.00154571,0.00154571,0.00154571
161,5463.04,1.60428,1.14253,1.99329,0.67607,0.53774,0.56154,0.17988,2.47324,1.7492,3.25347,0.00154047,0.00154047,0.00154047
162,5496.92,1.60717,1.1542,1.96409,0.57787,0.52358,0.5205,0.17778,2.43391,1.81071,3.09654,0.00153521,0.00153521,0.00153521
163,5530.86,1.54966,1.10009,1.91456,0.68952,0.51415,0.56615,0.18886,2.38629,1.8027,3.07192,0.00152992,0.00152992,0.00152992
164,5564.75,1.59831,1.15324,2.00037,0.68518,0.51887,0.55865,0.19548,2.40339,1.72273,3.15707,0.00152462,0.00152462,0.00152462
165,5598.66,1.53624,1.09474,1.92538,0.66899,0.56604,0.58249,0.20007,2.39562,1.72834,3.11986,0.0015193,0.0015193,0.0015193
166,5632.57,1.54957,1.09688,1.92614,0.6684,0.57048,0.55969,0.19868,2.38755,1.77321,3.10212,0.00151395,0.00151395,0.00151395
167,5666.46,1.54182,1.08348,1.9329,0.62942,0.54717,0.54553,0.18485,2.38963,1.80301,3.11487,0.00150859,0.00150859,0.00150859
168,5700.34,1.54652,1.11405,1.96218,0.7152,0.50935,0.53584,0.193,2.42258,1.65489,3.2406,0.0015032,0.0015032,0.0015032
169,5734.21,1.52948,1.11362,1.93756,0.66814,0.51415,0.57312,0.18659,2.45554,1.69536,3.27861,0.0014978,0.0014978,0.0014978
170,5768.09,1.56203,1.06322,1.94215,0.61113,0.51151,0.55227,0.18661,2.4361,1.77065,3.1867,0.00149238,0.00149238,0.00149238
171,5801.99,1.50895,1.07855,1.91672,0.69519,0.52715,0.59096,0.19907,2.39373,1.65596,3.15267,0.00148694,0.00148694,0.00148694
172,5835.88,1.54687,1.05685,1.95281,0.63428,0.56132,0.56599,0.19242,2.43399,1.58213,3.18104,0.00148148,0.00148148,0.00148148
173,5869.78,1.55774,1.12825,1.93005,0.68359,0.52358,0.56175,0.19493,2.38975,1.8379,3.12899,0.001476,0.001476,0.001476
174,5903.66,1.55005,1.14214,1.95517,0.63012,0.53839,0.53196,0.19396,2.42246,1.6038,3.19571,0.0014705,0.0014705,0.0014705
175,5937.58,1.52836,1.06405,1.91331,0.74893,0.48585,0.58365,0.20044,2.39411,1.71987,3.12678,0.00146498,0.00146498,0.00146498
176,5971.46,1.53274,1.04959,1.93065,0.65705,0.61454,0.60441,0.20756,2.34162,1.63512,3.13985,0.00145945,0.00145945,0.00145945
177,6005.34,1.51336,1.09192,1.914,0.63713,0.59631,0.60445,0.20704,2.36741,1.60849,3.09326,0.0014539,0.0014539,0.0014539
178,6039.3,1.51639,1.07743,1.92089,0.63253,0.58491,0.57406,0.20037,2.35224,1.73104,3.05229,0.00144833,0.00144833,0.00144833
179,6073.18,1.5394,1.11135,1.94269,0.66148,0.57547,0.59624,0.21275,2.36836,1.60479,3.13914,0.00144274,0.00144274,0.00144274
